Datapoint,EasyBackfilling-Waiting,EasyBackfilling-Computation
1,175.87567199999998,195.5964
2,171.148368,186.19601199999997
3,171.944864,170.88098399999998
4,172.163068,158.869344
5,163.74437599999996,152.70253200000002
6,166.11785200000003,140.01675600000002
