Percentage of Malleable/Moldable Jobs,FCFS,Backfilling,EasyBackfilling,MalleableStrategy
0,194.94857200000004,194.316708,195.5964,195.36393200000003
20,186.555128,194.100616,186.19601199999997,188.33119999999997
40,169.09659599999995,187.22807600000002,170.88098399999998,183.72797999999997
60,158.48596,176.22315999999998,158.869344,182.96583555555554
80,152.96486,163.97443600000003,152.70253200000002,200.35925600000002
100,142.411076,147.716464,140.01675600000002,212.31789454545452
