Datapoint,MalleableStrategy-Waiting,MalleableStrategy-Computation
1,173.511464,195.36393200000003
2,160.37972799999997,188.33119999999997
3,157.79032,183.72797999999997
4,160.42944,182.96583555555554
5,142.176584,200.35925600000002
6,140.6781563636364,212.31789454545452
