Percentage of Malleable/Moldable Jobs,FCFS,Backfilling,EasyBackfilling,MalleableStrategy
0,75.52289873263584,84.4540783571644,74.82889898812438,74.77624774549781
20,75.5957575127906,87.54459414712412,74.9813015909636,76.52636628105853
40,78.08752501073901,87.44981270910831,78.3741676360419,81.12423470091966
60,81.53841884159641,86.02468151967146,80.98679566779495,82.74692221356096
80,84.10788018945082,85.83746747386802,83.75489202465799,87.18366678300627
100,88.18320619330355,89.5355673983788,88.75389227377815,90.51901556488787
