Percentage of Malleable/Moldable Jobs,FCFS,Backfilling,EasyBackfilling,MalleableStrategy
0,366.19874799999997,284.418624,371.472072,368.87539599999997
20,358.5738600000001,281.00401600000004,357.34438,348.71092799999997
40,344.74961999999994,282.45577199999997,342.825848,341.5183
60,332.642056,288.55423999999994,331.03241199999997,343.39527555555554
80,321.73118,279.3451040000001,316.446908,342.53584000000006
100,306.31716399999993,281.869824,306.13460799999996,352.9960509090909
