Datapoint,Backfilling-Waiting,Backfilling-Computation
1,90.10191599999999,194.316708
2,86.90339999999999,194.100616
3,95.22769600000001,187.22807600000002
4,112.33108000000001,176.22315999999998
5,115.37066799999998,163.97443600000003
6,134.15336000000002,147.716464
