Datapoint,FCFS-Waiting,FCFS-Computation
1,171.250176,194.94857200000004
2,172.018732,186.555128
3,175.65302400000002,169.09659599999995
4,174.156096,158.48596
5,168.76632,152.96486
6,163.906088,142.411076
