Percentage, FCFS-Waiting, Backfilling-Waiting, EasyBackfilling-Waiting, MalleableStrategy-Waiting, FCFS-Computation, Backfilling-Computation, EasyBackfilling-Computation, MalleableStrategy-Computation
0, 171.250176, 90.10191599999999, 175.87567199999998, 173.511464, 194.94857200000004, 194.316708, 195.5964, 195.36393200000003
20, 172.018732, 86.90339999999999, 171.148368, 160.37972799999997, 186.555128, 194.100616, 186.19601199999997, 188.33119999999997
40, 175.65302400000002, 95.22769600000001, 171.944864, 157.79032, 169.09659599999995, 187.22807600000002, 170.88098399999998, 183.72797999999997
60, 174.156096, 112.33108000000001, 172.163068, 160.42944, 158.48596, 176.22315999999998, 158.869344, 182.96583555555554
80, 168.76632, 115.37066799999998, 163.74437599999996, 142.176584, 152.96486, 163.97443600000003, 152.70253200000002, 200.35925600000002
100, 163.906088, 134.15336000000002, 166.11785200000003, 140.6781563636364, 142.411076, 147.716464, 140.01675600000002, 212.31789454545452
