id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,Pi_80000000000_malleable_1-4,malleable,apgas,-0.0820000171661377,0.0,38.4449999332428,38.445,4,0,0,False,False,4.583,
2,Pi_600000000000_malleable_4-16,malleable,apgas,0.032000064849853516,0.042999982833862305,72.06700015068054,72.024,16,0,0,False,False,8.691,
3,BC_17_malleable_1-4,malleable,apgas,0.12899994850158691,0.15600013732910156,35.77800011634827,35.622,4,0,0,False,False,6.407,
4,NQueens_18_rigid_8,rigid,apgas,0.22799992561340332,0.26399993896484375,360.7350001335144,360.471,8,0,0,False,False,0,
5,UTS_18_malleable_1-4,malleable,apgas,0.32700014114379883,37.34599995613098,91.8840000629425,54.538,4,0,0,False,False,4.278,
6,BC_17_rigid_2,rigid,apgas,39.437000036239624,40.07100009918213,101.69799995422363,61.627,2,0,0,False,False,0,
7,UTS_19_rigid_2,rigid,apgas,71.5440001487732,71.54800009727478,473.4079999923706,401.86,2,0,0,False,False,0,
8,Pi_1200000000000_malleable_8-16,malleable,apgas,91.64800000190735,91.6949999332428,225.88300013542175,134.188,16,0,0,False,False,7.342,
9,Pi_600000000000_rigid_4,rigid,apgas,114.75300002098083,114.85400009155273,375.8840000629425,261.03,4,0,0,False,False,0,
10,UTS_18_rigid_2,rigid,apgas,137.86700010299683,137.91300010681152,241.5699999332428,103.657,2,0,0,False,False,0,
11,Pi_1200000000000_rigid_8,rigid,apgas,164.98300004005432,228.20900011062622,487.8589999675751,259.65,8,0,0,False,False,0,
12,Pi_600000000000_rigid_16,rigid,apgas,192.1050000190735,362.38700008392334,432.4720001220703,70.085,16,0,0,False,False,0,
13,BC_17_malleable_1-4,malleable,apgas,205.21200013160706,362.40900015830994,425.93099999427795,63.522,2,0,0,False,False,5.989,
14,Pi_600000000000_rigid_4,rigid,apgas,227.32800006866455,377.5369999408722,639.7999999523163,262.263,4,0,0,False,False,0,
15,BC_19_rigid_8,rigid,apgas,228.4390001296997,434.85400009155273,868.5030000209808,433.649,8,0,0,False,False,0,
16,NQueens_17_rigid_2,rigid,apgas,247.55100011825562,434.87199997901917,610.3140001296997,175.442,2,0,0,False,False,0,
17,BC_17_malleable_1-4,malleable,apgas,249.65199995040894,434.8800001144409,469.1400001049042,34.26,4,0,0,False,False,5.219,
18,Pi_1200000000000_rigid_8,rigid,apgas,277.7590000629425,470.7550001144409,727.4609999656677,256.706,8,0,0,False,False,0,
19,Pi_600000000000_malleable_4-16,malleable,apgas,299.8680000305176,490.0050001144409,597.7929999828339,107.788,10,0,0,False,False,7.071,
20,UTS_19_rigid_4,rigid,apgas,327.97000002861023,599.5210001468658,797.9170000553131,198.396,4,0,0,False,False,0,
21,UTS_19_rigid_4,rigid,apgas,339.0829999446869,599.5390000343323,808.0,208.461,4,0,0,False,False,0,
22,BC_18_malleable_2-16,malleable,apgas,356.20700001716614,599.5460000038147,941.574000120163,342.028,2,0,0,False,False,6.721,
23,UTS_18_malleable_1-4,malleable,apgas,403.3250000476837,611.8759999275208,713.0069999694824,101.131,2,0,0,False,False,4.128,
24,Pi_600000000000_rigid_8,rigid,apgas,442.4409999847412,729.6289999485016,859.5620000362396,129.933,8,0,0,False,False,0,
25,BC_18_rigid_2,rigid,apgas,482.5460000038147,729.6449999809265,1070.8359999656677,341.191,2,0,0,False,False,0,
