id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,UTS_18_rigid_4,rigid,apgas,-0.042999982833862305,0.0,63.842000007629395,63.842,4,0,0,False,False,0,
2,Pi_600000000000_rigid_8,rigid,apgas,0.06200003623962402,0.14100003242492676,133.00600004196167,132.865,8,0,0,False,False,0,
3,NQueens_18_malleable_8-16,malleable,apgas,0.1700000762939453,0.25300002098083496,192.5460000038147,192.293,16,0,0,False,False,7.21,
4,NQueens_17_rigid_4,rigid,apgas,0.26800012588500977,0.36100006103515625,92.96200013160706,92.601,4,0,0,False,False,0,
5,NQueens_18_rigid_8,rigid,apgas,0.37600016593933105,94.56599998474121,457.07599997520447,362.51,8,0,0,False,False,0,
6,UTS_18_rigid_2,rigid,apgas,72.50699996948242,135.17000007629395,236.50800013542175,101.338,2,0,0,False,False,0,
7,BC_19_rigid_8,rigid,apgas,95.62199997901917,194.40900015830994,630.6210000514984,436.212,8,0,0,False,False,0,
8,Pi_600000000000_rigid_8,rigid,apgas,104.73900008201599,194.42600011825562,328.6670000553131,134.241,8,0,0,False,False,0,
9,NQueens_17_malleable_1-8,malleable,apgas,116.86199998855591,194.43200016021729,260.1840000152588,65.752,6,0,0,False,False,5.656,
10,UTS_20_rigid_8,rigid,apgas,116.97900009155273,261.875,658.8010001182556,396.926,8,0,0,False,False,0,
11,UTS_19_malleable_2-16,malleable,apgas,131.09800004959106,330.8310000896454,438.22000002861023,107.389,8,0,0,False,False,5.99,
12,NQueens_17_malleable_1-8,malleable,apgas,166.2039999961853,439.875,491.5629999637604,51.688,8,0,0,False,False,4.78,
13,BC_17_malleable_1-4,malleable,apgas,214.3140001296997,459.2300000190735,495.4830000400543,36.253,4,0,0,False,False,6.223,
14,UTS_19_malleable_2-16,malleable,apgas,215.4060001373291,459.24500012397766,654.5329999923706,195.288,4,0,0,False,False,4.455,
15,BC_17_malleable_1-4,malleable,apgas,234.52500009536743,493.21799993515015,527.9079999923706,34.69,4,0,0,False,False,5.264,
16,BC_17_rigid_2,rigid,apgas,244.6380000114441,493.23099994659424,555.1349999904633,61.904,2,0,0,False,False,0,
17,BC_19_malleable_8-16,malleable,apgas,265.74000000953674,529.5080001354218,877.6970000267029,348.189,10,0,0,False,False,8.894,
18,Pi_1200000000000_malleable_8-16,malleable,apgas,299.85199999809265,632.3389999866486,841.5050001144409,209.166,10,0,0,False,False,6.994,
19,UTS_19_malleable_2-16,malleable,apgas,355.97500014305115,656.103000164032,848.2769999504089,192.174,4,0,0,False,False,4.704,
20,Pi_1200000000000_rigid_8,rigid,apgas,394.09100008010864,660.4270000457764,921.529000043869,261.102,8,0,0,False,False,0,
21,UTS_18_rigid_2,rigid,apgas,427.20700001716614,843.2330000400543,950.0529999732971,106.82,2,0,0,False,False,0,
22,UTS_19_rigid_4,rigid,apgas,442.3220000267029,843.2490000724792,1037.0699999332428,193.821,4,0,0,False,False,0,
23,NQueens_17_rigid_4,rigid,apgas,445.44000005722046,843.2569999694824,935.3670001029968,92.11,4,0,0,False,False,0,
24,NQueens_18_rigid_16,rigid,apgas,462.5440001487732,923.8329999446869,1116.2009999752045,192.368,16,0,0,False,False,0,
25,BC_18_rigid_2,rigid,apgas,466.6560001373291,923.8500001430511,1265.6710000038147,341.821,2,0,0,False,False,0,
