id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,BC_19_malleable_8-16,malleable,apgas,-0.07999992370605469,0.0,228.2260000705719,228.226,16,0,0,False,False,11.101,
2,BC_17_malleable_1-4,malleable,apgas,0.01399993896484375,0.04799985885620117,35.97000002861023,35.922,4,0,0,False,False,6.359,
3,UTS_19_malleable_2-16,malleable,apgas,0.11699986457824707,0.15899991989135742,80.22699999809265,80.068,12,0,0,False,False,7.555,
4,UTS_19_malleable_2-16,malleable,apgas,0.21199989318847656,37.54200005531311,235.56399989128113,198.022,4,0,0,False,False,4.25,
5,Pi_1200000000000_malleable_8-16,malleable,apgas,0.312000036239624,81.9539999961853,257.36899995803833,175.415,12,0,0,False,False,7.509,
6,NQueens_17_malleable_1-8,malleable,apgas,76.4319999217987,230.4779999256134,282.7060000896454,52.228,8,0,0,False,False,4.963,
7,BC_18_malleable_2-16,malleable,apgas,85.53099989891052,230.50200009346008,324.5390000343323,94.037,8,0,0,False,False,7.281,
8,UTS_19_malleable_2-16,malleable,apgas,103.65000009536743,237.22300004959106,433.09800004959106,195.875,4,0,0,False,False,4.28,
9,UTS_18_malleable_1-4,malleable,apgas,143.7699999809265,259.57999992370605,314.9119999408722,55.332,4,0,0,False,False,5.375,
10,NQueens_17_malleable_1-8,malleable,apgas,147.89100003242493,259.59500002861023,312.7890000343323,53.194,8,0,0,False,False,6.157,
11,BC_17_malleable_1-4,malleable,apgas,149.00200009346008,284.35199999809265,319.07599997520447,34.724,4,0,0,False,False,5.069,
12,BC_19_malleable_8-16,malleable,apgas,217.125,314.42700004577637,610.9370000362396,296.51,12,0,0,False,False,10.448,
13,UTS_19_malleable_2-16,malleable,apgas,293.25099992752075,316.55099987983704,519.6970000267029,203.146,4,0,0,False,False,4.213,
14,UTS_20_malleable_8-16,malleable,apgas,309.36500000953674,326.1749999523163,593.9300000667572,267.755,12,0,0,False,False,7.32,
15,UTS_18_malleable_1-4,malleable,apgas,312.4830000400543,434.70899987220764,490.779000043869,56.07,4,0,0,False,False,5.394,
16,Pi_1200000000000_malleable_8-16,malleable,apgas,316.5939998626709,521.3150000572205,781.8959999084473,260.581,8,0,0,False,False,5.817,
17,UTS_20_malleable_8-16,malleable,apgas,325.72000002861023,596.1900000572205,866.1970000267029,270.007,12,0,0,False,False,6.564,
18,Pi_600000000000_malleable_4-16,malleable,apgas,343.835000038147,612.7449998855591,704.0120000839233,91.267,12,0,0,False,False,7.362,
19,Pi_1200000000000_malleable_8-16,malleable,apgas,380.9560000896454,706.2560000419617,882.9140000343323,176.658,12,0,0,False,False,7.443,
20,Pi_600000000000_malleable_4-16,malleable,apgas,402.0720000267029,783.5369999408722,916.4879999160767,132.951,8,0,0,False,False,4.959,
21,Pi_80000000000_malleable_1-4,malleable,apgas,417.18099999427795,868.4359998703003,905.4370000362396,37.001,4,0,0,False,False,5.432,
22,Pi_1200000000000_malleable_8-16,malleable,apgas,419.2920000553131,868.4539999961853,1126.8819999694824,258.428,8,0,0,False,False,6.876,
23,Pi_600000000000_malleable_4-16,malleable,apgas,429.41299986839294,885.0939998626709,976.3339998722076,91.24,12,0,0,False,False,7.535,
24,NQueens_17_malleable_1-8,malleable,apgas,465.5260000228882,907.1549999713898,999.9530000686646,92.798,4,0,0,False,False,5.375,
25,BC_18_malleable_2-16,malleable,apgas,468.6380000114441,918.1909999847412,1011.2449998855591,93.054,8,0,0,False,False,7.517,
