id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,UTS_19_rigid_2,rigid,apgas,-0.10400009155273438,0.0,390.2260000705719,390.226,2,0,0,False,False,0,
2,UTS_19_rigid_4,rigid,apgas,-0.020999908447265625,0.04800009727478027,192.30100011825562,192.253,4,0,0,False,False,0,
3,UTS_18_malleable_1-4,malleable,apgas,0.06500005722045898,0.16000008583068848,54.01300001144409,53.853,4,0,0,False,False,4.578,
4,Pi_600000000000_malleable_4-16,malleable,apgas,0.14700007438659668,0.1679999828338623,71.81299996376038,71.645,16,0,0,False,False,8.034,
5,NQueens_18_rigid_8,rigid,apgas,0.2239999771118164,55.58800005912781,421.5620000362396,365.974,8,0,0,False,False,0,
6,Pi_1200000000000_malleable_8-16,malleable,apgas,2.3369998931884766,73.63700008392334,208.39000010490417,134.753,16,0,0,False,False,7.17,
7,Pi_600000000000_malleable_4-16,malleable,apgas,6.437000036239624,193.90300011634827,370.8589999675751,176.956,6,0,0,False,False,5.88,
8,NQueens_17_malleable_1-8,malleable,apgas,12.54800009727478,210.75300002098083,264.4849998950958,53.732,8,0,0,False,False,6.024,
9,Pi_600000000000_malleable_4-16,malleable,apgas,64.66700005531311,210.768000125885,341.7330000400543,130.965,8,0,0,False,False,4.945,
10,Pi_80000000000_malleable_1-4,malleable,apgas,71.76300001144409,266.1909999847412,303.9590001106262,37.768,4,0,0,False,False,4.364,
11,UTS_18_malleable_1-4,malleable,apgas,74.88499999046326,266.2079999446869,322.3440001010895,56.136,4,0,0,False,False,4.408,
12,BC_19_malleable_8-16,malleable,apgas,90.00799989700317,323.93099999427795,758.3840000629425,434.453,8,0,0,False,False,9.698,
13,NQueens_18_malleable_8-16,malleable,apgas,98.10899996757507,343.989000082016,708.9609999656677,364.972,8,0,0,False,False,5.044,
14,Pi_80000000000_rigid_4,rigid,apgas,259.22900009155273,372.5610001087189,408.6819999217987,36.121,4,0,0,False,False,0,
15,Pi_1200000000000_malleable_8-16,malleable,apgas,271.3129999637604,410.34100008010864,671.9119999408722,261.571,8,0,0,False,False,6.906,
16,Pi_1200000000000_malleable_8-16,malleable,apgas,317.40899991989136,423.7809998989105,683.4479999542236,259.667,8,0,0,False,False,4.959,
17,NQueens_17_malleable_1-8,malleable,apgas,337.5039999485016,673.5380001068115,726.5060000419617,52.968,8,0,0,False,False,5.904,
18,BC_18_malleable_2-16,malleable,apgas,341.60599994659424,685.1770000457764,783.0569999217987,97.88,8,0,0,False,False,7.446,
19,BC_18_malleable_2-16,malleable,apgas,354.71600008010864,711.1530001163483,805.0950000286102,93.942,8,0,0,False,False,7.305,
20,UTS_19_rigid_4,rigid,apgas,368.8329999446869,728.2019999027252,834.2769999504089,106.075,8,0,0,False,False,0,
21,BC_19_malleable_8-16,malleable,apgas,374.9500000476837,760.5840001106262,1195.2720000743866,434.688,8,0,0,False,False,7.947,
22,BC_17_malleable_1-4,malleable,apgas,390.0639998912811,785.3510000705719,820.1909999847412,34.84,4,0,0,False,False,5.342,
23,UTS_19_malleable_2-16,malleable,apgas,401.18099999427795,785.3659999370575,980.2890000343323,194.923,4,0,0,False,False,4.522,
24,UTS_19_malleable_2-16,malleable,apgas,456.30200004577637,806.816999912262,911.7300000190735,104.913,8,0,0,False,False,5.813,
25,BC_19_malleable_8-16,malleable,apgas,456.404000043869,835.9879999160767,1131.9630000591278,295.975,12,0,0,False,False,10.088,
