id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,NQueens_18_malleable_8-16,malleable,apgas,-0.054000139236450195,0.0,192.24499988555908,192.245,16,0,0,False,False,8.165,
2,Pi_80000000000_rigid_4,rigid,apgas,0.05099987983703613,0.14800000190734863,37.93999981880188,37.792,4,0,0,False,False,0,
3,BC_17_malleable_1-4,malleable,apgas,0.12399983406066895,0.15899991989135742,35.07299995422363,34.914,4,0,0,False,False,5.446,
4,BC_18_malleable_2-16,malleable,apgas,0.20199990272521973,0.26599979400634766,94.80900001525879,94.543,8,0,0,False,False,8.405,
5,BC_18_malleable_2-16,malleable,apgas,0.29799985885620117,36.6489999294281,212.18499994277954,175.536,4,0,0,False,False,5.944,
6,BC_19_rigid_16,rigid,apgas,13.406999826431274,194.5920000076294,421.4779999256134,226.886,16,0,0,False,False,0,
7,Pi_80000000000_rigid_2,rigid,apgas,18.513999938964844,194.60899996757507,267.72899985313416,73.12,2,0,0,False,False,0,
8,BC_17_malleable_1-4,malleable,apgas,23.631999969482422,194.617999792099,230.5789999961853,35.961,4,0,0,False,False,6.21,
9,UTS_18_malleable_1-4,malleable,apgas,46.72699999809265,194.62599992752075,248.77899980545044,54.153,4,0,0,False,False,4.448,
10,Pi_80000000000_rigid_4,rigid,apgas,115.84499979019165,213.76899981498718,250.9449999332428,37.176,4,0,0,False,False,0,
11,UTS_20_rigid_8,rigid,apgas,152.95099997520447,250.35899996757507,639.6319999694824,389.273,8,0,0,False,False,0,
12,Pi_1200000000000_rigid_8,rigid,apgas,158.06799983978271,270.3159999847412,531.7179999351501,261.402,8,0,0,False,False,0,
13,BC_17_rigid_4,rigid,apgas,190.17799997329712,423.8509998321533,459.2939999103546,35.443,4,0,0,False,False,0,
14,NQueens_17_malleable_1-8,malleable,apgas,216.2869999408722,423.8699998855591,476.28399991989136,52.414,8,0,0,False,False,4.935,
15,UTS_19_rigid_2,rigid,apgas,220.39999985694885,423.87800002098083,821.2689998149872,397.391,2,0,0,False,False,0,
16,UTS_19_rigid_4,rigid,apgas,264.5149998664856,477.99599981307983,585.2469999790192,107.251,8,0,0,False,False,0,
17,Pi_600000000000_rigid_8,rigid,apgas,272.63499999046326,533.925999879837,670.4089999198914,136.483,8,0,0,False,False,0,
18,UTS_20_rigid_8,rigid,apgas,287.74599981307983,587.454999923706,983.2309999465942,395.776,8,0,0,False,False,0,
19,BC_19_rigid_8,rigid,apgas,290.8479998111725,641.2839999198914,1075.869999885559,434.586,8,0,0,False,False,0,
20,BC_17_rigid_2,rigid,apgas,307.9619998931885,641.305999994278,703.7689998149872,62.463,2,0,0,False,False,0,
21,BC_19_malleable_8-16,malleable,apgas,310.0789999961853,672.6679999828339,969.1150000095367,296.447,12,0,0,False,False,11.558,
22,BC_17_rigid_2,rigid,apgas,391.19799995422363,705.3499999046326,767.7309999465942,62.381,2,0,0,False,False,0,
23,BC_18_rigid_8,rigid,apgas,470.32299995422363,971.329999923706,1066.026999950409,94.697,8,0,0,False,False,0,
24,UTS_19_malleable_2-16,malleable,apgas,486.4429998397827,971.3469998836517,1077.9969999790192,106.65,8,0,0,False,False,4.873,
25,UTS_19_malleable_2-16,malleable,apgas,512.5649998188019,984.8799998760223,1092.5039999485016,107.624,8,0,0,False,False,5.869,
