id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,UTS_18_malleable_1-4,malleable,apgas,-0.03400015830993652,0.0,68.45499992370605,68.455,4,0,0,False,False,6.476,
2,Pi_600000000000_rigid_8,rigid,apgas,0.06299996376037598,0.14299988746643066,136.6119999885559,136.469,8,0,0,False,False,0,
3,NQueens_18_malleable_8-16,malleable,apgas,0.16199994087219238,0.25499987602233887,191.78799986839294,191.533,16,0,0,False,False,7.274,
4,NQueens_17_rigid_4,rigid,apgas,0.26399993896484375,0.36299991607666016,92.06599998474121,91.703,4,0,0,False,False,0,
5,NQueens_18_rigid_8,rigid,apgas,0.36299991607666016,93.66599988937378,455.970999956131,362.305,8,0,0,False,False,0,
6,UTS_18_rigid_2,rigid,apgas,72.47099995613098,138.87399983406067,242.15899991989136,103.285,2,0,0,False,False,0,
7,BC_19_malleable_8-16,malleable,apgas,95.57399988174438,194.20299983024597,419.981999874115,225.779,16,0,0,False,False,10.32,
8,Pi_600000000000_rigid_8,rigid,apgas,104.69099998474121,243.7189998626709,373.5639998912811,129.845,8,0,0,False,False,0,
9,NQueens_17_malleable_1-8,malleable,apgas,116.79299998283386,375.21399998664856,426.99899983406067,51.785,8,0,0,False,False,5.049,
10,UTS_20_malleable_8-16,malleable,apgas,116.89499998092651,422.32299995422363,629.2649998664856,206.942,16,0,0,False,False,7.08,
11,UTS_19_malleable_2-16,malleable,apgas,131.01699995994568,428.646999835968,534.9049999713898,106.258,8,0,0,False,False,4.675,
12,NQueens_17_malleable_1-8,malleable,apgas,166.1289999485016,458.2149999141693,511.0409998893738,52.826,8,0,0,False,False,6.332,
13,BC_17_malleable_1-4,malleable,apgas,214.24799990653992,512.7409999370575,547.845999956131,35.105,4,0,0,False,False,5.266,
14,UTS_19_malleable_2-16,malleable,apgas,215.34500002861023,512.7549998760223,714.5609998703003,201.806,4,0,0,False,False,4.353,
15,BC_17_malleable_1-4,malleable,apgas,234.44599986076355,537.1079998016357,572.8509998321533,35.743,4,0,0,False,False,6.233,
16,BC_17_rigid_2,rigid,apgas,244.55499982833862,537.1309998035431,600.0820000171661,62.951,2,0,0,False,False,0,
17,BC_19_malleable_8-16,malleable,apgas,265.6729998588562,574.510999917984,926.470999956131,351.96,10,0,0,False,False,9.119,
18,Pi_1200000000000_malleable_8-16,malleable,apgas,299.7760000228882,631.5449998378754,765.9279999732971,134.383,16,0,0,False,False,8.131,
19,UTS_19_malleable_2-16,malleable,apgas,355.89299988746643,631.5590000152588,1032.1289999485016,400.57,2,0,0,False,False,5.11,
20,Pi_1200000000000_malleable_8-16,malleable,apgas,394.010999917984,768.2459998130798,903.1970000267029,134.951,16,0,0,False,False,8.526,
21,UTS_18_malleable_1-4,malleable,apgas,427.1399998664856,768.2589998245239,825.4759998321533,57.217,4,0,0,False,False,4.375,
22,UTS_19_rigid_4,rigid,apgas,442.23299980163574,827.0859999656677,1025.8519999980927,198.766,4,0,0,False,False,0,
23,NQueens_17_rigid_4,rigid,apgas,445.34699988365173,905.4619998931885,1000.2400000095367,94.778,4,0,0,False,False,0,
24,NQueens_18_rigid_16,rigid,apgas,462.43299984931946,928.7259998321533,1121.5009999275208,192.775,16,0,0,False,False,0,
25,BC_18_rigid_2,rigid,apgas,466.52899980545044,928.7419998645782,1267.4429998397827,338.701,2,0,0,False,False,0,
