id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,BC_18_malleable_2-16,malleable,apgas,-0.08599996566772461,0.0,74.33899998664856,74.339,16,1,0,False,False,17.903,
2,BC_18_malleable_2-16,malleable,apgas,0.017999887466430664,0.042999982833862305,65.02799987792969,64.985,16,2,0,False,False,8.643,
3,BC_18_malleable_2-16,malleable,apgas,0.09800004959106445,16.282999992370605,191.16999983787537,174.887,2,1,2,False,False,5.666,
4,BC_17_malleable_1-4,malleable,apgas,0.19700002670288086,24.21299982070923,130.5829999446869,106.37,1,0,1,False,False,1.373,
5,NQueens_17_malleable_1-8,malleable,apgas,0.2719998359680176,67.41199994087219,262.97499990463257,195.563,8,0,0,False,True,5.954,
6,UTS_20_malleable_8-16,malleable,apgas,2.383999824523926,76.64599990844727,476.33200001716614,399.686,15,1,0,False,False,7.807,
7,Pi_1200000000000_malleable_8-16,malleable,apgas,24.48199987411499,146.80499982833862,354.3399999141693,207.535,12,2,0,False,False,7.476,
8,UTS_19_malleable_2-16,malleable,apgas,62.59999990463257,158.24199986457825,545.2829999923706,387.041,2,0,1,False,False,4.301,
9,BC_18_malleable_2-16,malleable,apgas,87.72599983215332,192.74899983406067,452.4619998931885,259.713,4,2,0,False,False,5.899,
10,NQueens_17_malleable_1-8,malleable,apgas,114.85399985313416,207.0920000076294,535.954999923706,328.863,1,0,0,False,False,0.888,
11,UTS_20_malleable_8-16,malleable,apgas,127.96099996566772,265.2259998321533,668.7579998970032,403.532,8,0,0,False,False,5.901,
12,Pi_600000000000_malleable_4-16,malleable,apgas,155.07299995422363,356.62999987602234,574.7909998893738,218.161,10,2,0,False,False,6.296,
13,NQueens_17_malleable_1-8,malleable,apgas,162.16799998283386,363.0620000362396,706.1310000419617,343.069,1,0,0,False,False,0.912,
14,Pi_600000000000_malleable_4-16,malleable,apgas,167.27499985694885,374.4979999065399,633.7309999465942,259.233,4,0,0,False,False,6.247,
15,BC_18_malleable_2-16,malleable,apgas,173.3899998664856,448.5659999847412,731.8980000019073,283.332,2,1,2,False,False,5.739,
16,BC_17_malleable_1-4,malleable,apgas,179.50899982452393,453.9949998855591,530.7349998950958,76.74,2,1,0,False,False,4.876,
17,BC_18_malleable_2-16,malleable,apgas,182.61999988555908,478.5529999732971,623.4570000171661,144.904,8,2,0,False,False,7.447,
18,UTS_19_malleable_2-16,malleable,apgas,229.73399996757507,502.21299982070923,836.3429999351501,334.13,3,1,2,False,False,4.381,
19,Pi_600000000000_malleable_4-16,malleable,apgas,244.84599995613098,550.1219999790192,791.6779999732971,241.556,4,0,1,False,False,4.551,
20,BC_18_malleable_2-16,malleable,apgas,259.952999830246,575.1879999637604,750.7289998531342,175.541,2,0,1,False,False,6.666,
21,UTS_18_malleable_1-4,malleable,apgas,296.06900000572205,576.4029998779297,676.7829999923706,100.38,4,1,0,False,False,4.449,
22,BC_18_malleable_2-16,malleable,apgas,332.1870000362396,588.5419998168945,793.981999874115,205.44,2,0,2,False,False,6.796,
23,BC_18_malleable_2-16,malleable,apgas,393.29900002479553,625.0349998474121,814.0269999504089,188.992,4,1,2,False,False,6.726,
24,Pi_80000000000_malleable_1-4,malleable,apgas,469.39999985694885,631.1749999523163,767.2089998722076,136.034,1,0,0,False,False,0.877,
25,UTS_18_malleable_1-4,malleable,apgas,471.49599981307983,640.1039998531342,696.2530000209808,56.149,4,0,0,False,False,4.636,
