id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,BC_18_rigid_4,rigid,apgas,-0.05800008773803711,0.0,176.06699991226196,176.067,4,0,0,False,False,0,
2,BC_18_rigid_2,rigid,apgas,0.04800009727478027,0.1419999599456787,343.239000082016,343.097,2,0,0,False,False,0,
3,BC_18_rigid_2,rigid,apgas,0.16300010681152344,0.24900007247924805,337.1329998970032,336.884,2,0,0,False,False,0,
4,BC_17_rigid_4,rigid,apgas,0.2630000114440918,0.3599998950958252,35.07800006866455,34.718,4,0,0,False,False,0,
5,NQueens_17_malleable_1-8,malleable,apgas,0.36299991607666016,0.3689999580383301,54.081000089645386,53.712,8,0,0,False,False,7.014,
6,UTS_20_malleable_8-16,malleable,apgas,2.4809999465942383,2.5820000171661377,273.92599987983704,271.344,12,0,0,False,False,6.621,
7,Pi_1200000000000_malleable_8-16,malleable,apgas,24.59599995613098,55.80299997329712,229.03800010681152,173.235,12,0,0,False,False,6.522,
8,UTS_19_rigid_4,rigid,apgas,62.700000047683716,231.29699993133545,339.664999961853,108.368,8,0,0,False,False,0,
9,BC_18_rigid_8,rigid,apgas,87.8199999332428,276.1340000629425,369.42000007629395,93.286,8,0,0,False,False,0,
10,NQueens_17_malleable_1-8,malleable,apgas,114.93099999427795,177.67199993133545,269.25999999046326,91.588,4,0,0,False,False,4.319,
11,UTS_20_malleable_8-16,malleable,apgas,128.04399991035461,341.4029998779297,744.2929999828339,402.89,8,0,0,False,False,6.832,
12,Pi_600000000000_rigid_16,rigid,apgas,155.15400004386902,640.9289999008179,712.3589999675751,71.43,16,0,0,False,False,0,
13,NQueens_17_rigid_2,rigid,apgas,162.2630000114441,231.31200003623962,401.8069999217987,170.495,2,0,0,False,False,0,
14,Pi_600000000000_malleable_4-16,malleable,apgas,167.38199996948242,270.9100000858307,525.3480000495911,254.438,4,0,0,False,False,5.314,
15,BC_18_rigid_4,rigid,apgas,173.49799990653992,276.14599990844727,451.25300002098083,175.107,4,0,0,False,False,0,
16,BC_17_rigid_4,rigid,apgas,179.6029999256134,371.09100008010864,406.33899998664856,35.248,4,0,0,False,False,0,
17,BC_18_malleable_2-16,malleable,apgas,182.72000002861023,231.3199999332428,570.585000038147,339.265,2,0,0,False,False,6.431,
18,UTS_19_malleable_2-16,malleable,apgas,229.83100008964539,338.68300008773804,733.1410000324249,394.458,2,0,0,False,False,5.139,
19,Pi_600000000000_rigid_4,rigid,apgas,244.8989999294281,371.10400009155273,639.3210000991821,268.217,4,0,0,False,False,0,
20,BC_18_rigid_8,rigid,apgas,260.0090000629425,463.32999992370605,562.7860000133514,99.456,8,0,0,False,False,0,
21,UTS_18_rigid_4,rigid,apgas,296.1229999065399,408.00600004196167,461.7650001049042,53.759,4,0,0,False,False,0,
22,BC_18_malleable_2-16,malleable,apgas,332.25,344.82299995422363,686.3799998760223,341.557,2,0,0,False,False,6.528,
23,BC_18_rigid_2,rigid,apgas,393.3659999370575,403.38100004196167,747.2130000591278,343.832,2,0,0,False,False,0,
24,Pi_80000000000_rigid_2,rigid,apgas,469.47199988365173,526.9690001010895,597.6710000038147,70.702,2,0,0,False,False,0,
25,UTS_18_malleable_1-4,malleable,apgas,471.57599997520447,526.9860000610352,637.6879999637604,110.702,2,0,0,False,False,5.259,
