id,job_name,job_class,job_type,submit,start,end,duration,startNodes,shrinkCount,expandCount,kill,errorElastic,answer
1,UTS_20_malleable_8-16,malleable,apgas,-0.05900001525878906,0.0,216.10300016403198,216.103,16,0,0,False,False,8.185,
2,BC_17_malleable_1-4,malleable,apgas,0.032000064849853516,0.04400014877319336,36.182000160217285,36.138,4,0,0,False,False,6.3,
3,UTS_19_malleable_2-16,malleable,apgas,0.11300015449523926,0.15700006484985352,77.16499996185303,77.008,12,0,0,False,False,6.625,
4,NQueens_17_malleable_1-8,malleable,apgas,0.20399999618530273,37.84599995613098,129.04500007629395,91.199,4,0,0,False,False,4.308,
5,UTS_18_malleable_1-4,malleable,apgas,0.29600000381469727,78.95300006866455,134.92799997329712,55.975,4,0,0,False,False,5.471,
6,Pi_600000000000_malleable_4-16,malleable,apgas,63.43400001525879,78.97200012207031,214.33500003814697,135.363,8,0,0,False,False,6.984,
7,Pi_80000000000_malleable_1-4,malleable,apgas,118.55400013923645,130.6930000782013,167.9760000705719,37.283,4,0,0,False,False,4.227,
8,BC_18_malleable_2-16,malleable,apgas,118.65300011634827,136.5199999809265,311.00100016593933,174.481,4,0,0,False,False,5.779,
9,BC_17_malleable_1-4,malleable,apgas,159.77300000190735,169.60400009155273,204.23300004005432,34.629,4,0,0,False,False,5.204,
10,BC_17_malleable_1-4,malleable,apgas,164.89900016784668,205.89800000190735,240.81100010871887,34.913,4,0,0,False,False,5.09,
11,Pi_600000000000_malleable_4-16,malleable,apgas,205.02900004386902,216.02999997138977,348.81900000572205,132.789,8,0,0,False,False,7.031,
12,NQueens_17_malleable_1-8,malleable,apgas,229.1579999923706,229.17300009727478,282.3710000514984,53.198,8,0,0,False,False,5.862,
13,BC_19_malleable_8-16,malleable,apgas,232.27699995040894,232.2920000553131,672.3740000724792,440.082,8,0,0,False,False,9.066,
14,BC_17_malleable_1-4,malleable,apgas,241.38199996948242,242.42400002479553,277.1749999523163,34.751,4,0,0,False,False,5.125,
15,BC_18_malleable_2-16,malleable,apgas,264.5039999485016,278.81500005722046,455.1490001678467,176.334,4,0,0,False,False,6.694,
16,Pi_80000000000_malleable_1-4,malleable,apgas,287.6289999485016,287.6490001678467,324.1119999885559,36.463,4,0,0,False,False,4.464,
17,Pi_80000000000_malleable_1-4,malleable,apgas,299.72300004959106,299.78600001335144,337.31900000572205,37.533,4,0,0,False,False,4.372,
18,BC_18_malleable_2-16,malleable,apgas,301.8310000896454,312.62400007247925,488.39600014686584,175.772,4,0,0,False,False,6.75,
19,BC_17_malleable_1-4,malleable,apgas,326.9539999961853,326.970999956131,362.66799998283386,35.697,4,0,0,False,False,6.232,
20,BC_19_malleable_8-16,malleable,apgas,330.0640001296997,350.6300001144409,648.8300001621246,298.2,12,0,0,False,False,10.474,
21,UTS_20_malleable_8-16,malleable,apgas,340.1710000038147,456.7760000228882,874.8700001239777,418.094,8,0,0,False,False,4.946,
22,BC_18_malleable_2-16,malleable,apgas,410.29100012779236,490.06500005722046,665.9110000133514,175.846,4,0,0,False,False,5.874,
23,NQueens_18_malleable_8-16,malleable,apgas,417.4079999923706,650.6330001354218,898.8120000362396,248.179,12,0,0,False,False,6.41,
24,NQueens_17_malleable_1-8,malleable,apgas,449.5329999923706,667.5840001106262,758.4079999923706,90.824,4,0,0,False,False,4.523,
25,Pi_80000000000_malleable_1-4,malleable,apgas,455.64800000190735,674.1119999885559,710.3229999542236,36.211,4,0,0,False,False,4.476,
